Indicator,Indicator_Number,County_name,County,Year,Output,Measure
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2002,34,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2003,16,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2004,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2005,23,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2006,13,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2007,19,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2008,14,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2009,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2010,13,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2011,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2012,11,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2013,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2014,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2015,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2016,6,Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2000,590212,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2001,5035944,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2002,5965660,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2003,2107595,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2004,1208692,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2005,2725119,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2006,911991,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2007,3950154,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2008,1518695,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2009,914199,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2010,1824468,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2011,305019,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2012,2144688,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2013,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2014,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2015,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Albany County,1,2016,617692,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2000,6671595,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2001,12118995,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2002,28533519,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2003,12261357,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2004,5435852,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2005,13517360,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2006,12133476,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2007,10832448,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2008,10907904,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2009,4128783,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2010,11105920,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2011,12599910,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2012,18392062,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2013,7132750,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2014,5750748,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2015,7245980,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Bronx County,5,2016,5822880,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2000,2652267,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2001,4161900,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2002,5672186,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2003,2889327,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2004,2194784,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2005,3811892,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2006,2984080,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2007,3387025,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2008,1352290,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2009,405591,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2010,2156160,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2011,805596,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2012,2268446,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2013,133005,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2014,263960,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2015,654055,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2016,388512,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2000,546564,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2001,1634040,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2002,2174712,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2003,540924,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2004,179554,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2005,266580,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2006,88732,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2007,354536,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2008,265509,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2009,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2010,266916,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2011,88988,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Chemung Count,15,2012,357056,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2000,3651882,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2001,6548376,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2002,5178600,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2003,2035467,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2004,1171436,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2005,1766172,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2006,294712,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2007,4429785,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2008,2073869,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2009,890661,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2010,1786542,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2011,1193156,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2012,1486065,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2013,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2014,295903,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2015,590456,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2016,1472365,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2000,8544960,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2001,26502420,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2002,36798489,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2003,13185844,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2004,14074995,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2005,27952350,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2006,14809024,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2007,16593966,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2008,9205710,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2009,1838668,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2010,5515320,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2011,1840176,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2012,12891088,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2013,3688600,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2014,923702,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2015,3691828,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Erie County,29,2016,5526276,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2000,739309,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2001,777860,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2002,1215045,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2003,708012,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2004,353655,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2005,747099,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2006,315920,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2007,984325,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2008,276045,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2009,78956,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2010,314304,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2011,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2012,312912,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2013,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2014,38572,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2015,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Essex County,31,2016,76204,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Franklin Coun,33,2008,51907,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Franklin Coun,33,2010,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Franklin Coun,33,2012,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Franklin Coun,33,2013,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Franklin Coun,33,2014,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Franklin Coun,33,2015,202008,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Franklin Coun,33,2016,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2000,21508,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2001,53120,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2002,78480,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2003,31086,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2004,10316,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2005,35651,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2006,9974,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2007,39752,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2008,14679,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2009,9716,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2010,4834,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2011,4834,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2012,14391,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2013,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2014,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2015,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Hamilton Coun,41,2016,9084,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2000,128902,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2001,449918,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2002,575739,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2003,320400,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2004,64332,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2005,128584,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2006,128058,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2007,321715,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2008,193212,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2009,64381,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2010,64426,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2011,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2012,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2013,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2014,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2015,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Herkimer Coun,43,2016,250452,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2000,670740,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2001,3454082,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2002,3000024,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2003,1763936,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2004,329772,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2005,1929262,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2006,681900,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2007,1840944,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2008,460132,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2009,345069,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2010,1165710,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2011,354483,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2012,1207300,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2013,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2014,118724,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2015,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Jefferson Cou,45,2016,228012,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Madison Count,53,2000,347250,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Madison Count,53,2001,1117632,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Madison Count,53,2002,1475481,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Madison Count,53,2003,497070,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Madison Count,53,2004,214191,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Madison Count,53,2005,643239,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Madison Count,53,2006,72042,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Madison Count,53,2007,654381,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Madison Count,53,2008,292300,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Madison Count,53,2009,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Madison Count,53,2010,293724,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Madison Count,53,2011,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2000,2955916,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2001,8138801,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2002,18534775,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2003,7416710,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2004,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2005,7385060,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2006,3691645,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2007,8870988,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2008,4446108,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2009,743386,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2010,4469754,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2012,8987364,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2013,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2014,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2015,0,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,Monroe County,55,2016,1495454,Person Days
Ozone: Person Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,2,New York Coun,61,2000,35432581,Person Days
